State,State Code,Year,Year Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Alabama,1,2005,2005,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,29,0,0.0,0,0,0
Alabama,1,2005,2005,Male,M,45-54 years,45-54,Drug-Induced Causes,D,53,0,0.0,0,0,0
Alabama,1,2005,2005,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,72,320096,22.5,17.6,28.3,2.7
Alabama,1,2005,2005,Male,M,55-64 years,55-64,Drug-Induced Causes,D,12,0,Unreliable,0,0,0
Alabama,1,2005,2005,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,54,0,0.0,0,0,0
Alabama,1,2005,2005,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,19,149105,Unreliable,7.7,19.9,2.9
Alabama,1,2006,2006,Female,F,15-24 years,15-24,Drug-Induced Causes,D,13,327579,Unreliable,2.1,6.8,1.1
Alabama,1,2006,2006,Female,F,25-34 years,25-34,Drug-Induced Causes,D,29,0,0.0,0,0,0
Alabama,1,2006,2006,Female,F,35-44 years,35-44,Drug-Induced Causes,D,56,0,0.0,0,0,0
Alabama,1,2006,2006,Female,F,45-54 years,45-54,Drug-Induced Causes,D,40,345733,11.6,8.3,15.8,1.8
Alabama,1,2006,2006,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,17,0,Unreliable,0,0,0
Alabama,1,2006,2006,Female,F,55-64 years,55-64,Drug-Induced Causes,D,25,273519,9.1,5.9,13.5,1.8
Alabama,1,2006,2006,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,13,273519,Unreliable,2.5,8.1,1.3
Alabama,1,2006,2006,Male,M,15-24 years,15-24,Drug-Induced Causes,D,49,0,0.0,0,0,0
Alabama,1,2006,2006,Male,M,25-34 years,25-34,Drug-Induced Causes,D,74,0,0.0,0,0,0
Alabama,1,2006,2006,Male,M,35-44 years,35-44,Drug-Induced Causes,D,68,314657,21.6,16.8,27.4,2.6
Alabama,1,2006,2006,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,19,314657,Unreliable,3.6,9.4,1.4
Alabama,1,2006,2006,Male,M,45-54 years,45-54,Drug-Induced Causes,D,59,326177,18.1,13.8,23.3,2.4
Alabama,1,2006,2006,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,67,326177,20.5,15.9,26.1,2.5
Alabama,1,2006,2006,Male,M,55-64 years,55-64,Drug-Induced Causes,D,20,250793,8.0,4.9,12.3,1.8
Alabama,1,2006,2006,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,58,250793,23.1,17.6,29.9,3
Alabama,1,2006,2006,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,30,153107,19.6,13.2,28,3.6
Alabama,1,2007,2007,Female,F,15-24 years,15-24,Drug-Induced Causes,D,11,0,Unreliable,0,0,0
Alabama,1,2007,2007,Female,F,25-34 years,25-34,Drug-Induced Causes,D,41,0,0.0,0,0,0
Alabama,1,2007,2007,Female,F,35-44 years,35-44,Drug-Induced Causes,D,57,325948,17.5,13.2,22.7,2.3
Alabama,1,2007,2007,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,12,325948,Unreliable,1.9,6.4,1.1
Alabama,1,2007,2007,Female,F,45-54 years,45-54,Drug-Induced Causes,D,69,0,0.0,0,0,0
Alabama,1,2007,2007,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,19,350063,Unreliable,3.3,8.5,1.2
Alabama,1,2007,2007,Female,F,55-64 years,55-64,Drug-Induced Causes,D,36,282783,12.7,8.9,17.6,2.1
Alabama,1,2007,2007,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,17,282783,Unreliable,3.5,9.6,1.5
Alabama,1,2007,2007,Male,M,15-24 years,15-24,Drug-Induced Causes,D,59,0,0.0,0,0,0
Alabama,1,2007,2007,Male,M,25-34 years,25-34,Drug-Induced Causes,D,58,291564,19.9,15.1,25.7,2.6
Alabama,1,2007,2007,Male,M,35-44 years,35-44,Drug-Induced Causes,D,97,0,0.0,0,0,0
Alabama,1,2007,2007,Male,M,45-54 years,45-54,Drug-Induced Causes,D,66,330732,20.0,15.4,25.4,2.5
Alabama,1,2007,2007,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,80,330732,24.2,19.2,30.1,2.7
Alabama,1,2007,2007,Male,M,55-64 years,55-64,Drug-Induced Causes,D,30,0,0.0,0,0,0
Alabama,1,2007,2007,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,63,259292,24.3,18.7,31.1,3.1
Alabama,1,2007,2007,Male,M,65-74 years,65-74,Drug-Induced Causes,D,10,0,Unreliable,0,0,0
Alabama,1,2007,2007,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,28,0,0.0,0,0,0
Alabama,1,2008,2008,Female,F,15-24 years,15-24,Drug-Induced Causes,D,11,333638,Unreliable,1.6,5.9,1
Alabama,1,2008,2008,Female,F,25-34 years,25-34,Drug-Induced Causes,D,51,0,0.0,0,0,0
Alabama,1,2008,2008,Female,F,35-44 years,35-44,Drug-Induced Causes,D,85,322821,26.3,21,32.6,2.9
Alabama,1,2008,2008,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,11,322821,Unreliable,1.7,6.1,1
Alabama,1,2008,2008,Female,F,45-54 years,45-54,Drug-Induced Causes,D,100,0,0.0,0,0,0
Alabama,1,2008,2008,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,18,353830,Unreliable,3,8,1.2
Alabama,1,2008,2008,Female,F,55-64 years,55-64,Drug-Induced Causes,D,42,290035,14.5,10.4,19.6,2.2
Alabama,1,2008,2008,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,19,290035,Unreliable,3.9,10.2,1.5
Alabama,1,2008,2008,Male,M,15-24 years,15-24,Drug-Induced Causes,D,39,340693,11.4,8.1,15.6,1.8
Alabama,1,2008,2008,Male,M,25-34 years,25-34,Drug-Induced Causes,D,103,294555,35.0,28.2,41.7,3.4
Alabama,1,2008,2008,Male,M,35-44 years,35-44,Drug-Induced Causes,D,70,0,0.0,0,0,0
Alabama,1,2008,2008,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,22,309813,7.1,4.5,10.8,1.5
Alabama,1,2008,2008,Male,M,45-54 years,45-54,Drug-Induced Causes,D,78,334324,23.3,18.4,29.1,2.6
Alabama,1,2008,2008,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,73,0,0.0,0,0,0
Alabama,1,2008,2008,Male,M,55-64 years,55-64,Drug-Induced Causes,D,49,266305,18.4,13.6,24.3,2.6
Alabama,1,2008,2008,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,63,266305,23.7,18.2,30.3,3
Alabama,1,2008,2008,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,23,161691,14.2,9,21.3,3
Alabama,1,2009,2009,Female,F,15-24 years,15-24,Drug-Induced Causes,D,21,0,0.0,0,0,0
Alabama,1,2009,2009,Female,F,25-34 years,25-34,Drug-Induced Causes,D,51,0,0.0,0,0,0
Alabama,1,2009,2009,Female,F,35-44 years,35-44,Drug-Induced Causes,D,90,319030,28.2,22.7,34.7,3
Alabama,1,2009,2009,Female,F,45-54 years,45-54,Drug-Induced Causes,D,85,0,0.0,0,0,0
Alabama,1,2009,2009,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,21,355380,5.9,3.7,9,1.3
Alabama,1,2009,2009,Female,F,55-64 years,55-64,Drug-Induced Causes,D,43,298994,14.4,10.4,19.4,2.2
Alabama,1,2009,2009,Male,M,15-24 years,15-24,Drug-Induced Causes,D,39,0,0.0,0,0,0
Alabama,1,2009,2009,Male,M,25-34 years,25-34,Drug-Induced Causes,D,112,298675,37.5,30.6,44.4,3.5
Alabama,1,2009,2009,Male,M,35-44 years,35-44,Drug-Induced Causes,D,92,307619,29.9,24.1,36.7,3.1
Alabama,1,2009,2009,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,22,0,0.0,0,0,0
Alabama,1,2009,2009,Male,M,45-54 years,45-54,Drug-Induced Causes,D,78,337354,23.1,18.3,28.9,2.6
Alabama,1,2009,2009,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,54,0,0.0,0,0,0
Alabama,1,2009,2009,Male,M,55-64 years,55-64,Drug-Induced Causes,D,38,273893,13.9,9.8,19,2.3
Alabama,1,2009,2009,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,68,273893,24.8,19.3,31.5,3
Alabama,1,2009,2009,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,35,167056,21.0,14.6,29.1,3.5
Alabama,1,2009,2009,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,12,0,Unreliable,0,0,0
Alabama,1,2010,2010,Female,F,15-24 years,15-24,Drug-Induced Causes,D,15,0,Unreliable,0,0,0
Alabama,1,2010,2010,Female,F,25-34 years,25-34,Drug-Induced Causes,D,44,0,0.0,0,0,0
Alabama,1,2010,2010,Female,F,35-44 years,35-44,Drug-Induced Causes,D,66,0,0.0,0,0,0
Alabama,1,2010,2010,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,10,0,Unreliable,0,0,0
Alabama,1,2010,2010,Female,F,45-54 years,45-54,Drug-Induced Causes,D,87,0,0.0,0,0,0
Alabama,1,2010,2010,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,18,356026,Unreliable,3,8,1.2
Alabama,1,2010,2010,Female,F,55-64 years,55-64,Drug-Induced Causes,D,24,306797,7.8,5,11.6,1.6
Alabama,1,2010,2010,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,16,0,Unreliable,0,0,0
Alabama,1,2010,2010,Male,M,15-24 years,15-24,Drug-Induced Causes,D,27,0,0.0,0,0,0
Alabama,1,2010,2010,Male,M,25-34 years,25-34,Drug-Induced Causes,D,102,300140,34.0,27.4,40.6,3.4
Alabama,1,2010,2010,Male,M,35-44 years,35-44,Drug-Induced Causes,D,83,0,0.0,0,0,0
Alabama,1,2010,2010,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,17,303785,Unreliable,3.3,9,1.4
Alabama,1,2010,2010,Male,M,45-54 years,45-54,Drug-Induced Causes,D,76,337828,22.5,17.7,28.2,2.6
Alabama,1,2010,2010,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,75,0,0.0,0,0,0
Alabama,1,2010,2010,Male,M,55-64 years,55-64,Drug-Induced Causes,D,35,0,0.0,0,0,0
Alabama,1,2010,2010,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,72,0,0.0,0,0,0
Alabama,1,2010,2010,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,30,170036,17.6,11.9,25.2,3.2
Alabama,1,2011,2011,Female,F,15-24 years,15-24,Drug-Induced Causes,D,13,0,Unreliable,0,0,0
Alabama,1,2011,2011,Female,F,25-34 years,25-34,Drug-Induced Causes,D,47,0,0.0,0,0,0
Alabama,1,2011,2011,Female,F,35-44 years,35-44,Drug-Induced Causes,D,56,0,0.0,0,0,0
Alabama,1,2011,2011,Female,F,45-54 years,45-54,Drug-Induced Causes,D,94,352123,26.7,21.6,32.7,2.8
Alabama,1,2011,2011,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,24,352123,6.8,4.4,10.1,1.4
Alabama,1,2011,2011,Female,F,55-64 years,55-64,Drug-Induced Causes,D,28,0,0.0,0,0,0
Alabama,1,2011,2011,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,12,0,Unreliable,0,0,0
Alabama,1,2011,2011,Female,F,65-74 years,65-74,Drug-Induced Causes,D,14,205469,Unreliable,3.7,11.4,1.8
Alabama,1,2011,2011,Male,M,15-24 years,15-24,Drug-Induced Causes,D,39,0,0.0,0,0,0
Alabama,1,2011,2011,Male,M,25-34 years,25-34,Drug-Induced Causes,D,90,302589,29.7,23.9,36.6,3.1
Alabama,1,2011,2011,Male,M,35-44 years,35-44,Drug-Induced Causes,D,89,297322,29.9,24,36.8,3.2
Alabama,1,2011,2011,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,16,0,Unreliable,0,0,0
Alabama,1,2011,2011,Male,M,45-54 years,45-54,Drug-Induced Causes,D,76,0,0.0,0,0,0
Alabama,1,2011,2011,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,69,333025,20.7,16.1,26.2,2.5
Alabama,1,2011,2011,Male,M,55-64 years,55-64,Drug-Induced Causes,D,34,291585,11.7,8.1,16.3,2
Alabama,1,2011,2011,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,69,0,0.0,0,0,0
Alabama,1,2011,2011,Male,M,65-74 years,65-74,Drug-Induced Causes,D,14,0,Unreliable,0,0,0
Alabama,1,2011,2011,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,30,174711,17.2,11.6,24.5,3.1
Alabama,1,2012,2012,Female,F,15-24 years,15-24,Drug-Induced Causes,D,13,334944,Unreliable,2.1,6.6,1.1
Alabama,1,2012,2012,Female,F,25-34 years,25-34,Drug-Induced Causes,D,51,0,0.0,0,0,0
Alabama,1,2012,2012,Female,F,35-44 years,35-44,Drug-Induced Causes,D,55,0,0.0,0,0,0
Alabama,1,2012,2012,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,10,310431,Unreliable,1.5,5.9,1
Alabama,1,2012,2012,Female,F,45-54 years,45-54,Drug-Induced Causes,D,85,346146,24.6,19.6,30.4,2.7
Alabama,1,2012,2012,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,34,346146,9.8,6.8,13.7,1.7
Alabama,1,2012,2012,Female,F,55-64 years,55-64,Drug-Induced Causes,D,28,321543,8.7,5.8,12.6,1.6
Alabama,1,2012,2012,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,19,321543,Unreliable,3.6,9.2,1.4
Alabama,1,2012,2012,Male,M,15-24 years,15-24,Drug-Induced Causes,D,45,0,0.0,0,0,0
Alabama,1,2012,2012,Male,M,25-34 years,25-34,Drug-Induced Causes,D,107,0,0.0,0,0,0
Alabama,1,2012,2012,Male,M,35-44 years,35-44,Drug-Induced Causes,D,94,296236,31.7,25.6,38.8,3.3
Alabama,1,2012,2012,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,18,296236,Unreliable,3.6,9.6,1.4
Alabama,1,2012,2012,Male,M,45-54 years,45-54,Drug-Induced Causes,D,79,0,0.0,0,0,0
Alabama,1,2012,2012,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,61,327318,18.6,14.3,23.9,2.4
Alabama,1,2012,2012,Male,M,55-64 years,55-64,Drug-Induced Causes,D,38,293865,12.9,9.2,17.7,2.1
Alabama,1,2012,2012,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,79,293865,26.9,21.3,33.5,3
Alabama,1,2012,2012,Male,M,65-74 years,65-74,Drug-Induced Causes,D,14,0,Unreliable,0,0,0
Alabama,1,2012,2012,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,30,185517,16.2,10.9,23.1,3
Alabama,1,2013,2013,Female,F,15-24 years,15-24,Drug-Induced Causes,D,13,333985,Unreliable,2.1,6.7,1.1
Alabama,1,2013,2013,Female,F,25-34 years,25-34,Drug-Induced Causes,D,57,0,0.0,0,0,0
Alabama,1,2013,2013,Female,F,35-44 years,35-44,Drug-Induced Causes,D,67,310796,21.6,16.7,27.4,2.6
Alabama,1,2013,2013,Female,F,45-54 years,45-54,Drug-Induced Causes,D,74,341359,21.7,17,27.2,2.5
Alabama,1,2013,2013,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,29,341359,8.5,5.7,12.2,1.6
Alabama,1,2013,2013,Female,F,55-64 years,55-64,Drug-Induced Causes,D,45,0,0.0,0,0,0
Alabama,1,2013,2013,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,28,0,0.0,0,0,0
Alabama,1,2013,2013,Female,F,65-74 years,65-74,Drug-Induced Causes,D,10,225166,Unreliable,2.1,8.2,1.4
Alabama,1,2013,2013,Male,M,15-24 years,15-24,Drug-Induced Causes,D,33,342198,9.6,6.6,13.5,1.7
Alabama,1,2013,2013,Male,M,25-34 years,25-34,Drug-Induced Causes,D,114,306009,37.3,30.4,44.1,3.5
Alabama,1,2013,2013,Male,M,35-44 years,35-44,Drug-Induced Causes,D,91,296343,30.7,24.7,37.7,3.2
Alabama,1,2013,2013,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,17,0,Unreliable,0,0,0
Alabama,1,2013,2013,Male,M,45-54 years,45-54,Drug-Induced Causes,D,70,0,0.0,0,0,0
Alabama,1,2013,2013,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,42,0,0.0,0,0,0
Alabama,1,2013,2013,Male,M,55-64 years,55-64,Drug-Induced Causes,D,49,296949,16.5,12.2,21.8,2.4
Alabama,1,2013,2013,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,70,296949,23.6,18.4,29.8,2.8
Alabama,1,2013,2013,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,29,0,0.0,0,0,0
Alabama,1,2013,2013,Male,M,75-84 years,75-84,Alcohol-Induced Causes,A,14,0,Unreliable,0,0,0
Alabama,1,2014,2014,Female,F,15-24 years,15-24,Drug-Induced Causes,D,14,332363,Unreliable,2.3,7.1,1.1
Alabama,1,2014,2014,Female,F,25-34 years,25-34,Drug-Induced Causes,D,66,318121,20.7,16,26.4,2.6
Alabama,1,2014,2014,Female,F,35-44 years,35-44,Drug-Induced Causes,D,82,310625,26.4,21,32.8,2.9
Alabama,1,2014,2014,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,11,310625,Unreliable,1.8,6.3,1.1
Alabama,1,2014,2014,Female,F,45-54 years,45-54,Drug-Induced Causes,D,96,0,0.0,0,0,0
Alabama,1,2014,2014,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,28,337374,8.3,5.5,12,1.6
Alabama,1,2014,2014,Female,F,55-64 years,55-64,Drug-Induced Causes,D,73,329505,22.2,17.4,27.9,2.6
Alabama,1,2014,2014,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,31,329505,9.4,6.4,13.4,1.7
Alabama,1,2014,2014,Female,F,65-74 years,65-74,Drug-Induced Causes,D,16,0,Unreliable,0,0,0
Alabama,1,2014,2014,Male,M,15-24 years,15-24,Drug-Induced Causes,D,48,0,0.0,0,0,0
Alabama,1,2014,2014,Male,M,25-34 years,25-34,Drug-Induced Causes,D,117,0,0.0,0,0,0
Alabama,1,2014,2014,Male,M,35-44 years,35-44,Drug-Induced Causes,D,106,0,0.0,0,0,0
Alabama,1,2014,2014,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,21,294965,7.1,4.4,10.9,1.6
Alabama,1,2014,2014,Male,M,45-54 years,45-54,Drug-Induced Causes,D,96,319211,30.1,24.4,36.7,3.1
Alabama,1,2014,2014,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,54,319211,16.9,12.7,22.1,2.3
Alabama,1,2014,2014,Male,M,55-64 years,55-64,Drug-Induced Causes,D,62,299971,20.7,15.8,26.5,2.6
Alabama,1,2014,2014,Male,M,55-64 years,55-64,Alcohol-Induced Causes,A,96,299971,32.0,25.9,39.1,3.3
Alabama,1,2014,2014,Male,M,65-74 years,65-74,Drug-Induced Causes,D,12,0,Unreliable,0,0,0
Alabama,1,2014,2014,Male,M,65-74 years,65-74,Alcohol-Induced Causes,A,37,0,0.0,0,0,0
Alabama,1,2015,2015,Female,F,15-24 years,15-24,Drug-Induced Causes,D,24,0,0.0,0,0,0
Alabama,1,2015,2015,Female,F,25-34 years,25-34,Drug-Induced Causes,D,56,321456,17.4,13.2,22.6,2.3
Alabama,1,2015,2015,Female,F,35-44 years,35-44,Drug-Induced Causes,D,80,309233,25.9,20.5,32.2,2.9
Alabama,1,2015,2015,Female,F,35-44 years,35-44,Alcohol-Induced Causes,A,17,309233,Unreliable,3.2,8.8,1.3
Alabama,1,2015,2015,Female,F,45-54 years,45-54,Drug-Induced Causes,D,110,0,0.0,0,0,0
Alabama,1,2015,2015,Female,F,45-54 years,45-54,Alcohol-Induced Causes,A,29,0,0.0,0,0,0
Alabama,1,2015,2015,Female,F,55-64 years,55-64,Drug-Induced Causes,D,54,0,0.0,0,0,0
Alabama,1,2015,2015,Female,F,55-64 years,55-64,Alcohol-Induced Causes,A,24,334123,7.2,4.6,10.7,1.5
Alabama,1,2015,2015,Male,M,15-24 years,15-24,Drug-Induced Causes,D,42,0,0.0,0,0,0
Alabama,1,2015,2015,Male,M,25-34 years,25-34,Drug-Induced Causes,D,110,311270,35.3,28.7,41.9,3.4
Alabama,1,2015,2015,Male,M,35-44 years,35-44,Drug-Induced Causes,D,116,293263,39.6,32.4,46.8,3.7
Alabama,1,2015,2015,Male,M,35-44 years,35-44,Alcohol-Induced Causes,A,27,293263,9.2,6.1,13.4,1.8
Alabama,1,2015,2015,Male,M,45-54 years,45-54,Drug-Induced Causes,D,115,0,0.0,0,0,0
Alabama,1,2015,2015,Male,M,45-54 years,45-54,Alcohol-Induced Causes,A,57,0,0.0,0,0,0
