State,State Code,Year,Year Code,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Alabama,1,2008,2008,Drug-Induced Causes,D,646,4718206,13.7,12.6,14.7,0.5
Alabama,1,2008,2008,Alcohol-Induced Causes,A,250,4718206,5.3,4.6,6,0.3
Alabama,1,2008,2008,Total,,896,4718206,19,17.7,20.2,0.6
Alabama,1,2009,2009,Drug-Induced Causes,D,688,4757938,14.5,13.4,15.5,0.6
Alabama,1,2009,2009,Alcohol-Induced Causes,A,238,4757938,5,4.4,5.6,0.3
Alabama,1,2009,2009,Total,,926,4757938,19.5,18.2,20.7,0.6
Alabama,1,2010,2010,Drug-Induced Causes,D,585,4779736,12.2,11.2,13.2,0.5
Alabama,1,2010,2010,Alcohol-Induced Causes,A,267,4779736,5.6,4.9,6.3,0.3
Alabama,1,2010,2010,Total,,852,4779736,17.8,16.6,19,0.6
Alabama,1,2011,2011,Drug-Induced Causes,D,605,4802740,12.6,11.6,13.6,0.5
Alabama,1,2011,2011,Alcohol-Induced Causes,A,249,4802740,5.2,4.5,5.8,0.3
Alabama,1,2011,2011,Total,,854,4802740,17.8,16.6,19,0.6
Alabama,1,2012,2012,Drug-Induced Causes,D,632,4822023,13.1,12.1,14.1,0.5
Alabama,1,2012,2012,Alcohol-Induced Causes,A,280,4822023,5.8,5.1,6.5,0.3
Alabama,1,2012,2012,Total,,912,4822023,18.9,17.7,20.1,0.6
Alabama,1,2013,2013,Drug-Induced Causes,D,648,4833722,13.4,12.4,14.4,0.5
Alabama,1,2013,2013,Alcohol-Induced Causes,A,259,4833722,5.4,4.7,6,0.3
Alabama,1,2013,2013,Total,,907,4833722,18.8,17.5,20,0.6
Alabama,1,2014,2014,Drug-Induced Causes,D,800,4849377,16.5,15.4,17.6,0.6
Alabama,1,2014,2014,Alcohol-Induced Causes,A,310,4849377,6.4,5.7,7.1,0.4
Alabama,1,2014,2014,Total,,1110,4849377,22.9,21.5,24.2,0.7
Alabama,1,2015,2015,Drug-Induced Causes,D,810,4858979,16.7,15.5,17.8,0.6
Alabama,1,2015,2015,Alcohol-Induced Causes,A,316,4858979,6.5,5.8,7.2,0.4
Alabama,1,2015,2015,Total,,1126,4858979,23.2,21.8,24.5,0.7
Alabama,1,,,Total,,12606,79153531,15.9,15.6,16.2,0.1
Alaska,2,1999,1999,Drug-Induced Causes,D,56,624779,9,6.8,11.6,1.2
Alaska,2,1999,1999,Alcohol-Induced Causes,A,94,624779,15,12.2,18.4,1.6
Alaska,2,1999,1999,Total,,150,624779,24,20.2,27.9,2
Alaska,2,2000,2000,Drug-Induced Causes,D,54,626932,8.6,6.5,11.2,1.2
Alaska,2,2000,2000,Alcohol-Induced Causes,A,102,626932,16.3,13.1,19.4,1.6
Alaska,2,2000,2000,Total,,156,626932,24.9,21,28.8,2
Alaska,2,2001,2001,Drug-Induced Causes,D,72,633714,11.4,8.9,14.3,1.3
Alaska,2,2001,2001,Alcohol-Induced Causes,A,120,633714,18.9,15.5,22.3,1.7
Alaska,2,2001,2001,Total,,192,633714,30.3,26,34.6,2.2
Alaska,2,2002,2002,Drug-Induced Causes,D,85,642337,13.2,10.6,16.4,1.4
Alaska,2,2002,2002,Alcohol-Induced Causes,A,125,642337,19.5,16,22.9,1.7
Alaska,2,2002,2002,Total,,210,642337,32.7,28.3,37.1,2.3
Alaska,2,2003,2003,Drug-Induced Causes,D,86,648414,13.3,10.6,16.4,1.4
Alaska,2,2003,2003,Alcohol-Induced Causes,A,122,648414,18.8,15.5,22.2,1.7
Alaska,2,2003,2003,Total,,208,648414,32.1,27.7,36.4,2.2
Alaska,2,2004,2004,Drug-Induced Causes,D,92,659286,14,11.2,17.1,1.5
Alaska,2,2004,2004,Alcohol-Induced Causes,A,104,659286,15.8,12.7,18.8,1.5
Alaska,2,2004,2004,Total,,196,659286,29.7,25.6,33.9,2.1
Alaska,2,2005,2005,Drug-Induced Causes,D,85,666946,12.7,10.2,15.8,1.4
Alaska,2,2005,2005,Alcohol-Induced Causes,A,121,666946,18.1,14.9,21.4,1.6
Alaska,2,2005,2005,Total,,206,666946,30.9,26.7,35.1,2.2
Alaska,2,2006,2006,Drug-Induced Causes,D,85,675302,12.6,10.1,15.6,1.4
Alaska,2,2006,2006,Alcohol-Induced Causes,A,143,675302,21.2,17.7,24.6,1.8
Alaska,2,2006,2006,Total,,228,675302,33.8,29.4,38.1,2.2
Alaska,2,2007,2007,Drug-Induced Causes,D,75,680300,11,8.7,13.8,1.3
Alaska,2,2007,2007,Alcohol-Induced Causes,A,144,680300,21.2,17.7,24.6,1.8
Alaska,2,2007,2007,Total,,219,680300,32.2,27.9,36.5,2.2
Alaska,2,2008,2008,Drug-Induced Causes,D,132,687455,19.2,15.9,22.5,1.7
Alaska,2,2008,2008,Alcohol-Induced Causes,A,147,687455,21.4,17.9,24.8,1.8
Alaska,2,2008,2008,Total,,279,687455,40.6,35.8,45.3,2.4
Alaska,2,2009,2009,Drug-Induced Causes,D,133,698895,19,15.8,22.3,1.7
Alaska,2,2009,2009,Alcohol-Induced Causes,A,149,698895,21.3,17.9,24.7,1.7
Alaska,2,2009,2009,Total,,282,698895,40.3,35.6,45.1,2.4
Alaska,2,2010,2010,Drug-Induced Causes,D,84,710231,11.8,9.4,14.6,1.3
Alaska,2,2010,2010,Alcohol-Induced Causes,A,122,710231,17.2,14.1,20.2,1.6
Alaska,2,2010,2010,Total,,206,710231,29,25,33,2
Alaska,2,2011,2011,Drug-Induced Causes,D,107,722718,14.8,12,17.6,1.4
Alaska,2,2011,2011,Alcohol-Induced Causes,A,131,722718,18.1,15,21.2,1.6
Alaska,2,2011,2011,Total,,238,722718,32.9,28.7,37.1,2.1
Alaska,2,2012,2012,Drug-Induced Causes,D,132,731449,18,15,21.1,1.6
Alaska,2,2012,2012,Alcohol-Induced Causes,A,122,731449,16.7,13.7,19.6,1.5
Alaska,2,2012,2012,Total,,254,731449,34.7,30.5,39,2.2
Alaska,2,2013,2013,Drug-Induced Causes,D,110,735132,15,12.2,17.8,1.4
Alaska,2,2013,2013,Alcohol-Induced Causes,A,126,735132,17.1,14.1,20.1,1.5
Alaska,2,2013,2013,Total,,236,735132,32.1,28,36.2,2.1
Alaska,2,2014,2014,Drug-Induced Causes,D,127,736732,17.2,14.2,20.2,1.5
Alaska,2,2014,2014,Alcohol-Induced Causes,A,139,736732,18.9,15.7,22,1.6
Alaska,2,2014,2014,Total,,266,736732,36.1,31.8,40.4,2.2
Alaska,2,2015,2015,Drug-Induced Causes,D,127,738432,17.2,14.2,20.2,1.5
Alaska,2,2015,2015,Alcohol-Induced Causes,A,161,738432,21.8,18.4,25.2,1.7
Alaska,2,2015,2015,Total,,288,738432,39,34.5,43.5,2.3
Alaska,2,,,Total,,3814,11619054,32.8,31.8,33.9,0.5
Arizona,4,1999,1999,Drug-Induced Causes,D,557,5023823,11.1,10.2,12,0.5
Arizona,4,1999,1999,Alcohol-Induced Causes,A,468,5023823,9.3,8.5,10.2,0.4
Arizona,4,1999,1999,Total,,1025,5023823,20.4,19.2,21.7,0.6
Arizona,4,2000,2000,Drug-Induced Causes,D,559,5130632,10.9,10,11.8,0.5
Arizona,4,2000,2000,Alcohol-Induced Causes,A,472,5130632,9.2,8.4,10,0.4
Arizona,4,2000,2000,Total,,1031,5130632,20.1,18.9,21.3,0.6
Arizona,4,2001,2001,Drug-Induced Causes,D,598,5273477,11.3,10.4,12.2,0.5
Arizona,4,2001,2001,Alcohol-Induced Causes,A,450,5273477,8.5,7.7,9.3,0.4
Arizona,4,2001,2001,Total,,1048,5273477,19.9,18.7,21.1,0.6
Arizona,4,2002,2002,Drug-Induced Causes,D,667,5396255,12.4,11.4,13.3,0.5
Arizona,4,2002,2002,Alcohol-Induced Causes,A,515,5396255,9.5,8.7,10.4,0.4
Arizona,4,2002,2002,Total,,1182,5396255,21.9,20.7,23.2,0.6
Arizona,4,2003,2003,Drug-Induced Causes,D,739,5510364,13.4,12.4,14.4,0.5
Arizona,4,2003,2003,Alcohol-Induced Causes,A,572,5510364,10.4,9.5,11.2,0.4
Arizona,4,2003,2003,Total,,1311,5510364,23.8,22.5,25.1,0.7
Arizona,4,2004,2004,Drug-Induced Causes,D,803,5652404,14.2,13.2,15.2,0.5
Arizona,4,2004,2004,Alcohol-Induced Causes,A,590,5652404,10.4,9.6,11.3,0.4
Arizona,4,2004,2004,Total,,1393,5652404,24.6,23.4,25.9,0.7
Arizona,4,2005,2005,Drug-Induced Causes,D,849,5839077,14.5,13.6,15.5,0.5
Arizona,4,2005,2005,Alcohol-Induced Causes,A,667,5839077,11.4,10.6,12.3,0.4
Arizona,4,2005,2005,Total,,1516,5839077,26,24.7,27.3,0.7
Arizona,4,2006,2006,Drug-Induced Causes,D,959,6029141,15.9,14.9,16.9,0.5
Arizona,4,2006,2006,Alcohol-Induced Causes,A,664,6029141,11,10.2,11.9,0.4
Arizona,4,2006,2006,Total,,1623,6029141,26.9,25.6,28.2,0.7
Arizona,4,2007,2007,Drug-Induced Causes,D,981,6167681,15.9,14.9,16.9,0.5
Arizona,4,2007,2007,Alcohol-Induced Causes,A,747,6167681,12.1,11.2,13,0.4
Arizona,4,2007,2007,Total,,1728,6167681,28,26.7,29.3,0.7
Arizona,4,2008,2008,Drug-Induced Causes,D,853,6280362,13.6,12.7,14.5,0.5
Arizona,4,2008,2008,Alcohol-Induced Causes,A,784,6280362,12.5,11.6,13.4,0.4
Arizona,4,2008,2008,Total,,1637,6280362,26.1,24.8,27.3,0.6
Arizona,4,2009,2009,Drug-Induced Causes,D,1041,6343154,16.4,15.4,17.4,0.5
Arizona,4,2009,2009,Alcohol-Induced Causes,A,804,6343154,12.7,11.8,13.6,0.4
Arizona,4,2009,2009,Total,,1845,6343154,29.1,27.8,30.4,0.7
Arizona,4,2010,2010,Drug-Induced Causes,D,1141,6392017,17.9,16.8,18.9,0.5
Arizona,4,2010,2010,Alcohol-Induced Causes,A,987,6392017,15.4,14.5,16.4,0.5
Arizona,4,2010,2010,Total,,2128,6392017,33.3,31.9,34.7,0.7
Arizona,4,2011,2011,Drug-Induced Causes,D,1118,6482505,17.2,16.2,18.3,0.5
Arizona,4,2011,2011,Alcohol-Induced Causes,A,1008,6482505,15.5,14.6,16.5,0.5
Arizona,4,2011,2011,Total,,2126,6482505,32.8,31.4,34.2,0.7
Arizona,4,2012,2012,Drug-Induced Causes,D,1206,6553255,18.4,17.4,19.4,0.5
Arizona,4,2012,2012,Alcohol-Induced Causes,A,1056,6553255,16.1,15.1,17.1,0.5
Arizona,4,2012,2012,Total,,2262,6553255,34.5,33.1,35.9,0.7
Arizona,4,2013,2013,Drug-Induced Causes,D,1304,6626624,19.7,18.6,20.7,0.5
Arizona,4,2013,2013,Alcohol-Induced Causes,A,1138,6626624,17.2,16.2,18.2,0.5
Arizona,4,2013,2013,Total,,2442,6626624,36.9,35.4,38.3,0.7
Arizona,4,2014,2014,Drug-Induced Causes,D,1274,6731484,18.9,17.9,20,0.5
Arizona,4,2014,2014,Alcohol-Induced Causes,A,1170,6731484,17.4,16.4,18.4,0.5
Arizona,4,2014,2014,Total,,2444,6731484,36.3,34.9,37.7,0.7
Arizona,4,2015,2015,Drug-Induced Causes,D,1351,6828065,19.8,18.7,20.8,0.5
Arizona,4,2015,2015,Alcohol-Induced Causes,A,1277,6828065,18.7,17.7,19.7,0.5
Arizona,4,2015,2015,Total,,2628,6828065,38.5,37,40,0.8
Arizona,4,,,Total,,29369,102260320,28.7,28.4,29,0.2
Arkansas,5,1999,1999,Drug-Induced Causes,D,121,2651860,4.6,3.7,5.4,0.4
Arkansas,5,1999,1999,Alcohol-Induced Causes,A,120,2651860,4.5,3.7,5.3,0.4
Arkansas,5,1999,1999,Total,,241,2651860,9.1,7.9,10.2,0.6
Arkansas,5,2000,2000,Drug-Induced Causes,D,151,2673400,5.6,4.7,6.5,0.5
Arkansas,5,2000,2000,Alcohol-Induced Causes,A,113,2673400,4.2,3.4,5,0.4
Arkansas,5,2000,2000,Total,,264,2673400,9.9,8.7,11.1,0.6
Arkansas,5,2001,2001,Drug-Induced Causes,D,131,2691571,4.9,4,5.7,0.4
Arkansas,5,2001,2001,Alcohol-Induced Causes,A,161,2691571,6,5.1,6.9,0.5
Arkansas,5,2001,2001,Total,,292,2691571,10.8,9.6,12.1,0.6
Arkansas,5,2002,2002,Drug-Induced Causes,D,190,2705927,7,6,8,0.5
Arkansas,5,2002,2002,Alcohol-Induced Causes,A,136,2705927,5,4.2,5.9,0.4
Arkansas,5,2002,2002,Total,,326,2705927,12,10.7,13.4,0.7
Arkansas,5,2003,2003,Drug-Induced Causes,D,203,2724816,7.5,6.4,8.5,0.5
Arkansas,5,2003,2003,Alcohol-Induced Causes,A,138,2724816,5.1,4.2,5.9,0.4
Arkansas,5,2003,2003,Total,,341,2724816,12.5,11.2,13.8,0.7
Arkansas,5,2004,2004,Drug-Induced Causes,D,249,2749686,9.1,7.9,10.2,0.6
Arkansas,5,2004,2004,Alcohol-Induced Causes,A,131,2749686,4.8,3.9,5.6,0.4
Arkansas,5,2004,2004,Total,,380,2749686,13.8,12.4,15.2,0.7
Arkansas,5,2005,2005,Drug-Induced Causes,D,286,2781097,10.3,9.1,11.5,0.6
Arkansas,5,2005,2005,Alcohol-Induced Causes,A,146,2781097,5.2,4.4,6.1,0.4
Arkansas,5,2005,2005,Total,,432,2781097,15.5,14.1,17,0.7
Arkansas,5,2006,2006,Drug-Induced Causes,D,307,2821761,10.9,9.7,12.1,0.6
Arkansas,5,2006,2006,Alcohol-Induced Causes,A,171,2821761,6.1,5.2,7,0.5
Arkansas,5,2006,2006,Total,,478,2821761,16.9,15.4,18.5,0.8
Arkansas,5,2007,2007,Drug-Induced Causes,D,326,2848650,11.4,10.2,12.7,0.6
Arkansas,5,2007,2007,Alcohol-Induced Causes,A,173,2848650,6.1,5.2,7,0.5
Arkansas,5,2007,2007,Total,,499,2848650,17.5,16,19.1,0.8
Arkansas,5,2008,2008,Drug-Induced Causes,D,390,2874554,13.6,12.2,14.9,0.7
Arkansas,5,2008,2008,Alcohol-Induced Causes,A,200,2874554,7,6,7.9,0.5
Arkansas,5,2008,2008,Total,,590,2874554,20.5,18.9,22.2,0.8
Arkansas,5,2009,2009,Drug-Induced Causes,D,384,2896843,13.3,11.9,14.6,0.7
Arkansas,5,2009,2009,Alcohol-Induced Causes,A,173,2896843,6,5.1,6.9,0.5
Arkansas,5,2009,2009,Total,,557,2896843,19.2,17.6,20.8,0.8
Arkansas,5,2010,2010,Drug-Induced Causes,D,374,2915918,12.8,11.5,14.1,0.7
Arkansas,5,2010,2010,Alcohol-Induced Causes,A,179,2915918,6.1,5.2,7,0.5
Arkansas,5,2010,2010,Total,,553,2915918,19,17.4,20.5,0.8
Arkansas,5,2011,2011,Drug-Induced Causes,D,375,2937979,12.8,11.5,14.1,0.7
Arkansas,5,2011,2011,Alcohol-Induced Causes,A,176,2937979,6,5.1,6.9,0.5
Arkansas,5,2011,2011,Total,,551,2937979,18.8,17.2,20.3,0.8
Arkansas,5,2012,2012,Drug-Induced Causes,D,398,2949131,13.5,12.2,14.8,0.7
Arkansas,5,2012,2012,Alcohol-Induced Causes,A,175,2949131,5.9,5.1,6.8,0.4
Arkansas,5,2012,2012,Total,,573,2949131,19.4,17.8,21,0.8
Arkansas,5,2013,2013,Drug-Induced Causes,D,343,2959373,11.6,10.4,12.8,0.6
Arkansas,5,2013,2013,Alcohol-Induced Causes,A,189,2959373,6.4,5.5,7.3,0.5
Arkansas,5,2013,2013,Total,,532,2959373,18,16.4,19.5,0.8
Arkansas,5,2014,2014,Drug-Induced Causes,D,377,2966369,12.7,11.4,14,0.7
Arkansas,5,2014,2014,Alcohol-Induced Causes,A,209,2966369,7,6.1,8,0.5
Arkansas,5,2014,2014,Total,,586,2966369,19.8,18.2,21.4,0.8
Arkansas,5,2015,2015,Drug-Induced Causes,D,425,2978204,14.3,12.9,15.6,0.7
Arkansas,5,2015,2015,Alcohol-Induced Causes,A,242,2978204,8.1,7.1,9.1,0.5
Arkansas,5,2015,2015,Total,,667,2978204,22.4,20.7,24.1,0.9
Arkansas,5,,,Total,,7862,48127139,16.3,16,16.7,0.2
California,6,1999,1999,Drug-Induced Causes,D,3091,33499204,9.2,8.9,9.6,0.2
California,6,1999,1999,Alcohol-Induced Causes,A,3286,33499204,9.8,9.5,10.1,0.2
California,6,1999,1999,Total,,6377,33499204,19,18.6,19.5,0.2
California,6,2000,2000,Drug-Induced Causes,D,2301,33871648,6.8,6.5,7.1,0.1
California,6,2000,2000,Alcohol-Induced Causes,A,3406,33871648,10.1,9.7,10.4,0.2
California,6,2000,2000,Total,,5707,33871648,16.8,16.4,17.3,0.2
California,6,2001,2001,Drug-Induced Causes,D,1507,34479458,4.4,4.2,4.6,0.1
California,6,2001,2001,Alcohol-Induced Causes,A,3399,34479458,9.9,9.5,10.2,0.2
California,6,2001,2001,Total,,4906,34479458,14.2,13.8,14.6,0.2
California,6,2002,2002,Drug-Induced Causes,D,3418,34871843,9.8,9.5,10.1,0.2
California,6,2002,2002,Alcohol-Induced Causes,A,3542,34871843,10.2,9.8,10.5,0.2
California,6,2002,2002,Total,,6960,34871843,20,19.5,20.4,0.2
California,6,2003,2003,Drug-Induced Causes,D,3614,35253159,10.3,9.9,10.6,0.2
California,6,2003,2003,Alcohol-Induced Causes,A,3752,35253159,10.6,10.3,11,0.2
California,6,2003,2003,Total,,7366,35253159,20.9,20.4,21.4,0.2
California,6,2004,2004,Drug-Induced Causes,D,3681,35574576,10.3,10,10.7,0.2
California,6,2004,2004,Alcohol-Induced Causes,A,3703,35574576,10.4,10.1,10.7,0.2
California,6,2004,2004,Total,,7384,35574576,20.8,20.3,21.2,0.2
California,6,2005,2005,Drug-Induced Causes,D,3821,35827943,10.7,10.3,11,0.2
California,6,2005,2005,Alcohol-Induced Causes,A,3932,35827943,11,10.6,11.3,0.2
California,6,2005,2005,Total,,7753,35827943,21.6,21.2,22.1,0.2
California,6,2006,2006,Drug-Induced Causes,D,4026,36021202,11.2,10.8,11.5,0.2
California,6,2006,2006,Alcohol-Induced Causes,A,3932,36021202,10.9,10.6,11.3,0.2
California,6,2006,2006,Total,,7958,36021202,22.1,21.6,22.6,0.2
California,6,2007,2007,Drug-Induced Causes,D,4178,36250311,11.5,11.2,11.9,0.2
California,6,2007,2007,Alcohol-Induced Causes,A,4027,36250311,11.1,10.8,11.5,0.2
California,6,2007,2007,Total,,8205,36250311,22.6,22.1,23.1,0.2
California,6,2008,2008,Drug-Induced Causes,D,4147,36604337,11.3,11,11.7,0.2
California,6,2008,2008,Alcohol-Induced Causes,A,4167,36604337,11.4,11,11.7,0.2
California,6,2008,2008,Total,,8314,36604337,22.7,22.2,23.2,0.2
California,6,2009,2009,Drug-Induced Causes,D,4290,36961229,11.6,11.3,12,0.2
California,6,2009,2009,Alcohol-Induced Causes,A,4245,36961229,11.5,11.1,11.8,0.2
California,6,2009,2009,Total,,8535,36961229,23.1,22.6,23.6,0.2
California,6,2010,2010,Drug-Induced Causes,D,4258,37253956,11.4,11.1,11.8,0.2
California,6,2010,2010,Alcohol-Induced Causes,A,4292,37253956,11.5,11.2,11.9,0.2
California,6,2010,2010,Total,,8550,37253956,23,22.5,23.4,0.2
California,6,2011,2011,Drug-Induced Causes,D,4429,37691912,11.8,11.4,12.1,0.2
California,6,2011,2011,Alcohol-Induced Causes,A,4489,37691912,11.9,11.6,12.3,0.2
California,6,2011,2011,Total,,8918,37691912,23.7,23.2,24.2,0.3
California,6,2012,2012,Drug-Induced Causes,D,4304,38041430,11.3,11,11.7,0.2
California,6,2012,2012,Alcohol-Induced Causes,A,4422,38041430,11.6,11.3,12,0.2
California,6,2012,2012,Total,,8726,38041430,22.9,22.5,23.4,0.2
California,6,2013,2013,Drug-Induced Causes,D,4747,38332521,12.4,12,12.7,0.2
California,6,2013,2013,Alcohol-Induced Causes,A,4560,38332521,11.9,11.6,12.2,0.2
California,6,2013,2013,Total,,9307,38332521,24.3,23.8,24.8,0.3
California,6,2014,2014,Drug-Induced Causes,D,4816,38802500,12.4,12.1,12.8,0.2
California,6,2014,2014,Alcohol-Induced Causes,A,4746,38802500,12.2,11.9,12.6,0.2
California,6,2014,2014,Total,,9562,38802500,24.6,24.1,25.1,0.3
California,6,2015,2015,Drug-Induced Causes,D,5025,39144818,12.8,12.5,13.2,0.2
California,6,2015,2015,Alcohol-Induced Causes,A,5150,39144818,13.2,12.8,13.5,0.2
California,6,2015,2015,Total,,10175,39144818,26,25.5,26.5,0.3
California,6,,,Total,,134703,618482047,21.8,21.7,21.9,0.1
Colorado,8,1999,1999,Drug-Induced Causes,D,375,4226018,8.9,8,9.8,0.5
Colorado,8,1999,1999,Alcohol-Induced Causes,A,468,4226018,11.1,10.1,12.1,0.5
Colorado,8,1999,1999,Total,,843,4226018,19.9,18.6,21.3,0.7
Colorado,8,2000,2000,Drug-Induced Causes,D,372,4301261,8.6,7.8,9.5,0.4
Colorado,8,2000,2000,Alcohol-Induced Causes,A,446,4301261,10.4,9.4,11.3,0.5
Colorado,8,2000,2000,Total,,818,4301261,19,17.7,20.3,0.7
Colorado,8,2001,2001,Drug-Induced Causes,D,444,4425687,10,9.1,11,0.5
Colorado,8,2001,2001,Alcohol-Induced Causes,A,511,4425687,11.5,10.5,12.5,0.5
Colorado,8,2001,2001,Total,,955,4425687,21.6,20.2,22.9,0.7
Colorado,8,2002,2002,Drug-Induced Causes,D,474,4490406,10.6,9.6,11.5,0.5
Colorado,8,2002,2002,Alcohol-Induced Causes,A,516,4490406,11.5,10.5,12.5,0.5
Colorado,8,2002,2002,Total,,990,4490406,22,20.7,23.4,0.7
Colorado,8,2003,2003,Drug-Induced Causes,D,529,4528732,11.7,10.7,12.7,0.5
Colorado,8,2003,2003,Alcohol-Induced Causes,A,517,4528732,11.4,10.4,12.4,0.5
Colorado,8,2003,2003,Total,,1046,4528732,23.1,21.7,24.5,0.7
Colorado,8,2004,2004,Drug-Induced Causes,D,548,4575013,12,11,13,0.5
Colorado,8,2004,2004,Alcohol-Induced Causes,A,498,4575013,10.9,9.9,11.8,0.5
Colorado,8,2004,2004,Total,,1046,4575013,22.9,21.5,24.2,0.7
Colorado,8,2005,2005,Drug-Induced Causes,D,640,4631888,13.8,12.7,14.9,0.5
Colorado,8,2005,2005,Alcohol-Induced Causes,A,500,4631888,10.8,9.8,11.7,0.5
Colorado,8,2005,2005,Total,,1140,4631888,24.6,23.2,26,0.7
Colorado,8,2006,2006,Drug-Induced Causes,D,660,4720423,14,12.9,15,0.5
Colorado,8,2006,2006,Alcohol-Induced Causes,A,526,4720423,11.1,10.2,12.1,0.5
Colorado,8,2006,2006,Total,,1186,4720423,25.1,23.7,26.6,0.7
Colorado,8,2007,2007,Drug-Induced Causes,D,747,4803868,15.5,14.4,16.7,0.6
Colorado,8,2007,2007,Alcohol-Induced Causes,A,610,4803868,12.7,11.7,13.7,0.5
Colorado,8,2007,2007,Total,,1357,4803868,28.2,26.7,29.8,0.8
Colorado,8,2008,2008,Drug-Induced Causes,D,760,4889730,15.5,14.4,16.6,0.6
Colorado,8,2008,2008,Alcohol-Induced Causes,A,676,4889730,13.8,12.8,14.9,0.5
Colorado,8,2008,2008,Total,,1436,4889730,29.4,27.8,30.9,0.8
Colorado,8,2009,2009,Drug-Induced Causes,D,784,4972195,15.8,14.7,16.9,0.6
Colorado,8,2009,2009,Alcohol-Induced Causes,A,686,4972195,13.8,12.8,14.8,0.5
Colorado,8,2009,2009,Total,,1470,4972195,29.6,28.1,31.1,0.8
Colorado,8,2010,2010,Drug-Induced Causes,D,676,5029196,13.4,12.4,14.5,0.5
Colorado,8,2010,2010,Alcohol-Induced Causes,A,733,5029196,14.6,13.5,15.6,0.5
Colorado,8,2010,2010,Total,,1409,5029196,28,26.6,29.5,0.7
Colorado,8,2011,2011,Drug-Induced Causes,D,852,5116796,16.7,15.5,17.8,0.6
Colorado,8,2011,2011,Alcohol-Induced Causes,A,720,5116796,14.1,13,15.1,0.5
Colorado,8,2011,2011,Total,,1572,5116796,30.7,29.2,32.2,0.8
Colorado,8,2012,2012,Drug-Induced Causes,D,826,5187582,15.9,14.8,17,0.6
Colorado,8,2012,2012,Alcohol-Induced Causes,A,749,5187582,14.4,13.4,15.5,0.5
Colorado,8,2012,2012,Total,,1575,5187582,30.4,28.9,31.9,0.8
Colorado,8,2013,2013,Drug-Induced Causes,D,864,5268367,16.4,15.3,17.5,0.6
Colorado,8,2013,2013,Alcohol-Induced Causes,A,788,5268367,15,13.9,16,0.5
Colorado,8,2013,2013,Total,,1652,5268367,31.4,29.8,32.9,0.8
Colorado,8,2014,2014,Drug-Induced Causes,D,917,5355866,17.1,16,18.2,0.6
Colorado,8,2014,2014,Alcohol-Induced Causes,A,812,5355866,15.2,14.1,16.2,0.5
Colorado,8,2014,2014,Total,,1729,5355866,32.3,30.8,33.8,0.8
