State,State Code,Year,Year Code,Race,Ten-Year Age Groups,Ten-Year Age Groups Code,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Alabama,1,2008,2008,White,75-84 years,75-84,Alcohol-Induced Causes,A,10,0,Unreliable,0,0,0
Alabama,1,2009,2009,Black or African American,25-34 years,25-34,Drug-Induced Causes,D,13,174402,Unreliable,4,12.7,2.1
Alabama,1,2009,2009,Black or African American,35-44 years,35-44,Drug-Induced Causes,D,16,0,Unreliable,0,0,0
Alabama,1,2009,2009,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,15,0,Unreliable,0,0,0
Alabama,1,2009,2009,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,26,0,0.0,0,0,0
Alabama,1,2009,2009,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,20,0,0.0,0,0,0
Alabama,1,2009,2009,White,15-24 years,15-24,Drug-Induced Causes,D,58,0,0.0,0,0,0
Alabama,1,2009,2009,White,25-34 years,25-34,Drug-Induced Causes,D,150,413782,36.3,30.4,42.1,3
Alabama,1,2009,2009,White,35-44 years,35-44,Drug-Induced Causes,D,166,0,0.0,0,0,0
Alabama,1,2009,2009,White,35-44 years,35-44,Alcohol-Induced Causes,A,22,0,0.0,0,0,0
Alabama,1,2009,2009,White,45-54 years,45-54,Drug-Induced Causes,D,148,502722,29.4,24.7,34.2,2.4
Alabama,1,2009,2009,White,45-54 years,45-54,Alcohol-Induced Causes,A,49,502722,9.7,7.2,12.9,1.4
Alabama,1,2009,2009,White,55-64 years,55-64,Drug-Induced Causes,D,72,0,0.0,0,0,0
Alabama,1,2009,2009,White,55-64 years,55-64,Alcohol-Induced Causes,A,57,0,0.0,0,0,0
Alabama,1,2009,2009,White,65-74 years,65-74,Drug-Induced Causes,D,12,0,Unreliable,0,0,0
Alabama,1,2009,2009,White,65-74 years,65-74,Alcohol-Induced Causes,A,33,0,0.0,0,0,0
Alabama,1,2009,2009,White,75-84 years,75-84,Drug-Induced Causes,D,12,172231,Unreliable,3.6,12.2,2
Alabama,1,2009,2009,White,75-84 years,75-84,Alcohol-Induced Causes,A,10,172231,Unreliable,2.8,10.7,1.8
Alabama,1,2010,2010,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,16,0,Unreliable,0,0,0
Alabama,1,2010,2010,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,20,0,0.0,0,0,0
Alabama,1,2010,2010,Black or African American,55-64 years,55-64,Drug-Induced Causes,D,10,0,Unreliable,0,0,0
Alabama,1,2010,2010,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,26,134629,19.3,12.6,28.3,3.8
Alabama,1,2010,2010,White,15-24 years,15-24,Drug-Induced Causes,D,38,0,0.0,0,0,0
Alabama,1,2010,2010,White,25-34 years,25-34,Drug-Induced Causes,D,138,415020,33.3,27.7,38.8,2.8
Alabama,1,2010,2010,White,35-44 years,35-44,Drug-Induced Causes,D,140,441533,31.7,26.5,37,2.7
Alabama,1,2010,2010,White,35-44 years,35-44,Alcohol-Induced Causes,A,24,0,0.0,0,0,0
Alabama,1,2010,2010,White,45-54 years,45-54,Drug-Induced Causes,D,147,503234,29.2,24.5,33.9,2.4
Alabama,1,2010,2010,White,45-54 years,45-54,Alcohol-Induced Causes,A,71,503234,14.1,11,17.8,1.7
Alabama,1,2010,2010,White,55-64 years,55-64,Drug-Induced Causes,D,49,0,0.0,0,0,0
Alabama,1,2010,2010,White,55-64 years,55-64,Alcohol-Induced Causes,A,62,0,0.0,0,0,0
Alabama,1,2010,2010,White,65-74 years,65-74,Drug-Induced Causes,D,12,299087,Unreliable,2.1,7,1.2
Alabama,1,2010,2010,White,65-74 years,65-74,Alcohol-Induced Causes,A,28,0,0.0,0,0,0
Alabama,1,2011,2011,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,18,175723,Unreliable,6.1,16.2,2.4
Alabama,1,2011,2011,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,22,0,0.0,0,0,0
Alabama,1,2011,2011,Black or African American,55-64 years,55-64,Drug-Induced Causes,D,11,142844,Unreliable,3.8,13.8,2.3
Alabama,1,2011,2011,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,23,0,0.0,0,0,0
Alabama,1,2011,2011,White,15-24 years,15-24,Drug-Induced Causes,D,47,444557,10.6,7.8,14.1,1.5
Alabama,1,2011,2011,White,25-34 years,25-34,Drug-Induced Causes,D,130,417849,31.1,25.8,36.5,2.7
Alabama,1,2011,2011,White,35-44 years,35-44,Drug-Induced Causes,D,140,431709,32.4,27.1,37.8,2.7
Alabama,1,2011,2011,White,35-44 years,35-44,Alcohol-Induced Causes,A,21,0,0.0,0,0,0
Alabama,1,2011,2011,White,45-54 years,45-54,Drug-Induced Causes,D,152,0,0.0,0,0,0
Alabama,1,2011,2011,White,45-54 years,45-54,Alcohol-Induced Causes,A,71,496020,14.3,11.2,18.1,1.7
Alabama,1,2011,2011,White,55-64 years,55-64,Drug-Induced Causes,D,51,0,0.0,0,0,0
Alabama,1,2011,2011,White,55-64 years,55-64,Alcohol-Induced Causes,A,58,0,0.0,0,0,0
Alabama,1,2011,2011,White,65-74 years,65-74,Drug-Induced Causes,D,23,305976,7.5,4.8,11.3,1.6
Alabama,1,2011,2011,White,65-74 years,65-74,Alcohol-Induced Causes,A,29,0,0.0,0,0,0
Alabama,1,2012,2012,Black or African American,25-34 years,25-34,Drug-Induced Causes,D,13,0,Unreliable,0,0,0
Alabama,1,2012,2012,Black or African American,35-44 years,35-44,Drug-Induced Causes,D,12,161107,Unreliable,3.8,13,2.2
Alabama,1,2012,2012,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,12,172335,Unreliable,3.6,12.2,2
Alabama,1,2012,2012,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,16,172335,Unreliable,5.3,15.1,2.3
Alabama,1,2012,2012,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,24,0,0.0,0,0,0
Alabama,1,2012,2012,White,15-24 years,15-24,Drug-Induced Causes,D,55,441924,12.4,9.4,16.2,1.7
Alabama,1,2012,2012,White,25-34 years,25-34,Drug-Induced Causes,D,145,0,0.0,0,0,0
Alabama,1,2012,2012,White,35-44 years,35-44,Drug-Induced Causes,D,137,428640,32.0,26.6,37.3,2.7
Alabama,1,2012,2012,White,35-44 years,35-44,Alcohol-Induced Causes,A,24,428640,5.6,3.6,8.3,1.1
Alabama,1,2012,2012,White,45-54 years,45-54,Drug-Induced Causes,D,151,0,0.0,0,0,0
Alabama,1,2012,2012,White,45-54 years,45-54,Alcohol-Induced Causes,A,78,0,0.0,0,0,0
Alabama,1,2012,2012,White,55-64 years,55-64,Drug-Induced Causes,D,58,0,0.0,0,0,0
Alabama,1,2012,2012,White,55-64 years,55-64,Alcohol-Induced Causes,A,74,0,0.0,0,0,0
Alabama,1,2012,2012,White,65-74 years,65-74,Drug-Induced Causes,D,17,0,Unreliable,0,0,0
Alabama,1,2012,2012,White,65-74 years,65-74,Alcohol-Induced Causes,A,29,0,0.0,0,0,0
Alabama,1,2013,2013,Black or African American,25-34 years,25-34,Drug-Induced Causes,D,13,183110,Unreliable,3.8,12.1,2
Alabama,1,2013,2013,Black or African American,35-44 years,35-44,Drug-Induced Causes,D,21,0,0.0,0,0,0
Alabama,1,2013,2013,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,18,169880,Unreliable,6.3,16.7,2.5
Alabama,1,2013,2013,Black or African American,55-64 years,55-64,Drug-Induced Causes,D,12,152514,Unreliable,4.1,13.7,2.3
Alabama,1,2013,2013,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,28,0,0.0,0,0,0
Alabama,1,2013,2013,White,15-24 years,15-24,Drug-Induced Causes,D,43,0,0.0,0,0,0
Alabama,1,2013,2013,White,25-34 years,25-34,Drug-Induced Causes,D,158,419481,37.7,31.8,43.5,3
Alabama,1,2013,2013,White,35-44 years,35-44,Drug-Induced Causes,D,137,427199,32.1,26.7,37.4,2.7
Alabama,1,2013,2013,White,35-44 years,35-44,Alcohol-Induced Causes,A,18,0,Unreliable,0,0,0
Alabama,1,2013,2013,White,45-54 years,45-54,Drug-Induced Causes,D,135,0,0.0,0,0,0
Alabama,1,2013,2013,White,45-54 years,45-54,Alcohol-Induced Causes,A,53,480300,11.0,8.3,14.4,1.5
Alabama,1,2013,2013,White,55-64 years,55-64,Drug-Induced Causes,D,81,459607,17.6,14,21.9,2
Alabama,1,2013,2013,White,55-64 years,55-64,Alcohol-Induced Causes,A,69,0,0.0,0,0,0
Alabama,1,2013,2013,White,65-74 years,65-74,Drug-Induced Causes,D,14,335903,Unreliable,2.3,7,1.1
Alabama,1,2013,2013,White,65-74 years,65-74,Alcohol-Induced Causes,A,33,335903,9.8,6.8,13.8,1.7
Alabama,1,2013,2013,White,75-84 years,75-84,Drug-Induced Causes,D,10,180706,Unreliable,2.7,10.2,1.7
Alabama,1,2013,2013,White,75-84 years,75-84,Alcohol-Induced Causes,A,15,180706,Unreliable,4.6,13.7,2.1
Alabama,1,2014,2014,Black or African American,25-34 years,25-34,Drug-Induced Causes,D,18,185754,Unreliable,5.7,15.3,2.3
Alabama,1,2014,2014,Black or African American,35-44 years,35-44,Drug-Induced Causes,D,19,0,Unreliable,0,0,0
Alabama,1,2014,2014,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,22,0,0.0,0,0,0
Alabama,1,2014,2014,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,15,0,Unreliable,0,0,0
Alabama,1,2014,2014,Black or African American,55-64 years,55-64,Drug-Induced Causes,D,12,0,Unreliable,0,0,0
Alabama,1,2014,2014,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,27,0,0.0,0,0,0
Alabama,1,2014,2014,White,15-24 years,15-24,Drug-Induced Causes,D,55,436230,12.6,9.5,16.4,1.7
Alabama,1,2014,2014,White,25-34 years,25-34,Drug-Induced Causes,D,164,0,0.0,0,0,0
Alabama,1,2014,2014,White,35-44 years,35-44,Drug-Induced Causes,D,169,0,0.0,0,0,0
Alabama,1,2014,2014,White,35-44 years,35-44,Alcohol-Induced Causes,A,25,422616,5.9,3.8,8.7,1.2
Alabama,1,2014,2014,White,45-54 years,45-54,Drug-Induced Causes,D,170,0,0.0,0,0,0
Alabama,1,2014,2014,White,45-54 years,45-54,Alcohol-Induced Causes,A,64,474396,13.5,10.4,17.2,1.7
Alabama,1,2014,2014,White,55-64 years,55-64,Drug-Induced Causes,D,123,0,0.0,0,0,0
Alabama,1,2014,2014,White,55-64 years,55-64,Alcohol-Induced Causes,A,100,462166,21.6,17.4,25.9,2.2
Alabama,1,2014,2014,White,65-74 years,65-74,Drug-Induced Causes,D,24,346983,6.9,4.4,10.3,1.4
Alabama,1,2014,2014,White,65-74 years,65-74,Alcohol-Induced Causes,A,37,346983,10.7,7.5,14.7,1.8
Alabama,1,2015,2015,Black or African American,25-34 years,25-34,Drug-Induced Causes,D,21,188507,11.1,6.9,17,2.4
Alabama,1,2015,2015,Black or African American,35-44 years,35-44,Drug-Induced Causes,D,18,166978,Unreliable,6.4,17,2.5
Alabama,1,2015,2015,Black or African American,45-54 years,45-54,Drug-Induced Causes,D,27,0,0.0,0,0,0
Alabama,1,2015,2015,Black or African American,45-54 years,45-54,Alcohol-Induced Causes,A,17,0,Unreliable,0,0,0
Alabama,1,2015,2015,Black or African American,55-64 years,55-64,Drug-Induced Causes,D,17,159521,Unreliable,6.2,17.1,2.6
Alabama,1,2015,2015,Black or African American,55-64 years,55-64,Alcohol-Induced Causes,A,20,159521,12.5,7.7,19.4,2.8
Alabama,1,2015,2015,Black or African American,65-74 years,65-74,Alcohol-Induced Causes,A,10,0,Unreliable,0,0,0
Alabama,1,2015,2015,White,15-24 years,15-24,Drug-Induced Causes,D,57,0,0.0,0,0,0
Alabama,1,2015,2015,White,25-34 years,25-34,Drug-Induced Causes,D,145,425367,34.1,28.5,39.6,2.8
Alabama,1,2015,2015,White,25-34 years,25-34,Alcohol-Induced Causes,A,10,0,Unreliable,0,0,0
Alabama,1,2015,2015,White,35-44 years,35-44,Drug-Induced Causes,D,176,0,0.0,0,0,0
Alabama,1,2015,2015,White,35-44 years,35-44,Alcohol-Induced Causes,A,39,0,0.0,0,0,0
Alabama,1,2015,2015,White,45-54 years,45-54,Drug-Induced Causes,D,195,469046,41.6,35.7,47.4,3
Alabama,1,2015,2015,White,45-54 years,45-54,Alcohol-Induced Causes,A,68,0,0.0,0,0,0
Alabama,1,2015,2015,White,55-64 years,55-64,Drug-Induced Causes,D,101,0,0.0,0,0,0
Alabama,1,2015,2015,White,55-64 years,55-64,Alcohol-Induced Causes,A,98,0,0.0,0,0,0
Alabama,1,2015,2015,White,65-74 years,65-74,Drug-Induced Causes,D,14,356126,Unreliable,2.1,6.6,1.1
Alabama,1,2015,2015,White,65-74 years,65-74,Alcohol-Induced Causes,A,30,0,0.0,0,0,0
Alaska,2,2005,2005,American Indian or Alaska Native,35-44 years,35-44,Alcohol-Induced Causes,A,15,15231,Unreliable,55.1,162.4,25.4
Alaska,2,2005,2005,American Indian or Alaska Native,45-54 years,45-54,Alcohol-Induced Causes,A,23,13668,168.3,106.7,252.5,35.1
Alaska,2,2005,2005,White,35-44 years,35-44,Drug-Induced Causes,D,20,0,0.0,0,0,0
Alaska,2,2005,2005,White,35-44 years,35-44,Alcohol-Induced Causes,A,12,0,Unreliable,0,0,0
Alaska,2,2005,2005,White,45-54 years,45-54,Drug-Induced Causes,D,17,86827,Unreliable,11.4,31.3,4.7
Alaska,2,2005,2005,White,45-54 years,45-54,Alcohol-Induced Causes,A,24,86827,27.6,17.7,41.1,5.6
Alaska,2,2005,2005,White,55-64 years,55-64,Alcohol-Induced Causes,A,13,52418,Unreliable,13.2,42.4,6.9
Alaska,2,2005,2005,White,65-74 years,65-74,Alcohol-Induced Causes,A,11,0,Unreliable,0,0,0
Alaska,2,2006,2006,American Indian or Alaska Native,35-44 years,35-44,Alcohol-Induced Causes,A,18,14900,Unreliable,71.6,190.9,28.5
Alaska,2,2006,2006,American Indian or Alaska Native,45-54 years,45-54,Alcohol-Induced Causes,A,17,14067,Unreliable,70.4,193.5,29.3
Alaska,2,2006,2006,White,15-24 years,15-24,Drug-Induced Causes,D,10,0,Unreliable,0,0,0
Alaska,2,2006,2006,White,25-34 years,25-34,Drug-Induced Causes,D,14,65002,Unreliable,11.8,36.1,5.8
Alaska,2,2006,2006,White,35-44 years,35-44,Drug-Induced Causes,D,18,73497,Unreliable,14.5,38.7,5.8
Alaska,2,2006,2006,White,35-44 years,35-44,Alcohol-Induced Causes,A,15,0,Unreliable,0,0,0
Alaska,2,2006,2006,White,45-54 years,45-54,Drug-Induced Causes,D,20,0,0.0,0,0,0
Alaska,2,2006,2006,White,45-54 years,45-54,Alcohol-Induced Causes,A,28,0,0.0,0,0,0
Alaska,2,2006,2006,White,55-64 years,55-64,Alcohol-Induced Causes,A,25,0,0.0,0,0,0
Alaska,2,2006,2006,White,65-74 years,65-74,Alcohol-Induced Causes,A,11,0,Unreliable,0,0,0
Alaska,2,2007,2007,American Indian or Alaska Native,35-44 years,35-44,Alcohol-Induced Causes,A,13,14557,Unreliable,47.6,152.7,24.8
Alaska,2,2007,2007,American Indian or Alaska Native,45-54 years,45-54,Alcohol-Induced Causes,A,26,14258,182.4,119.1,267.2,35.8
Alaska,2,2007,2007,American Indian or Alaska Native,55-64 years,55-64,Alcohol-Induced Causes,A,14,8862,Unreliable,86.4,265.1,42.2
Alaska,2,2007,2007,White,25-34 years,25-34,Drug-Induced Causes,D,18,66688,Unreliable,16,42.7,6.4
Alaska,2,2007,2007,White,35-44 years,35-44,Drug-Induced Causes,D,11,71549,Unreliable,7.7,27.5,4.6
Alaska,2,2007,2007,White,35-44 years,35-44,Alcohol-Induced Causes,A,14,0,Unreliable,0,0,0
Alaska,2,2007,2007,White,45-54 years,45-54,Drug-Induced Causes,D,21,0,0.0,0,0,0
Alaska,2,2007,2007,White,45-54 years,45-54,Alcohol-Induced Causes,A,27,0,0.0,0,0,0
Alaska,2,2007,2007,White,55-64 years,55-64,Alcohol-Induced Causes,A,24,0,0.0,0,0,0
Alaska,2,2008,2008,American Indian or Alaska Native,25-34 years,25-34,Alcohol-Induced Causes,A,12,0,Unreliable,0,0,0
Alaska,2,2008,2008,American Indian or Alaska Native,35-44 years,35-44,Alcohol-Induced Causes,A,15,0,Unreliable,0,0,0
Alaska,2,2008,2008,American Indian or Alaska Native,45-54 years,45-54,Drug-Induced Causes,D,10,14541,Unreliable,33,126.5,21.7
Alaska,2,2008,2008,American Indian or Alaska Native,45-54 years,45-54,Alcohol-Induced Causes,A,16,14541,Unreliable,62.9,178.7,27.5
Alaska,2,2008,2008,American Indian or Alaska Native,55-64 years,55-64,Alcohol-Induced Causes,A,15,0,Unreliable,0,0,0
Alaska,2,2008,2008,White,15-24 years,15-24,Drug-Induced Causes,D,11,72100,Unreliable,7.6,27.3,4.6
Alaska,2,2008,2008,White,25-34 years,25-34,Drug-Induced Causes,D,16,68734,Unreliable,13.3,37.8,5.8
Alaska,2,2008,2008,White,35-44 years,35-44,Drug-Induced Causes,D,25,69798,35.8,23.2,52.9,7.2
Alaska,2,2008,2008,White,35-44 years,35-44,Alcohol-Induced Causes,A,10,69798,Unreliable,6.9,26.3,4.5
Alaska,2,2008,2008,White,45-54 years,45-54,Drug-Induced Causes,D,29,0,0.0,0,0,0
Alaska,2,2008,2008,White,45-54 years,45-54,Alcohol-Induced Causes,A,30,0,0.0,0,0,0
Alaska,2,2008,2008,White,55-64 years,55-64,Drug-Induced Causes,D,11,62239,Unreliable,8.8,31.6,5.3
Alaska,2,2008,2008,White,55-64 years,55-64,Alcohol-Induced Causes,A,22,62239,35.3,22.2,53.5,7.5
Alaska,2,2008,2008,White,65-74 years,65-74,Alcohol-Induced Causes,A,10,24579,Unreliable,19.5,74.8,12.9
Alaska,2,2009,2009,American Indian or Alaska Native,25-34 years,25-34,Alcohol-Induced Causes,A,12,0,Unreliable,0,0,0
Alaska,2,2009,2009,American Indian or Alaska Native,35-44 years,35-44,Drug-Induced Causes,D,10,0,Unreliable,0,0,0
Alaska,2,2009,2009,American Indian or Alaska Native,35-44 years,35-44,Alcohol-Induced Causes,A,17,13818,Unreliable,71.7,197,29.8
Alaska,2,2009,2009,American Indian or Alaska Native,45-54 years,45-54,Alcohol-Induced Causes,A,21,0,0.0,0,0,0
Alaska,2,2009,2009,White,15-24 years,15-24,Drug-Induced Causes,D,13,69406,Unreliable,10,32,5.2
Alaska,2,2009,2009,White,25-34 years,25-34,Drug-Induced Causes,D,15,0,Unreliable,0,0,0
Alaska,2,2009,2009,White,35-44 years,35-44,Drug-Induced Causes,D,16,68051,Unreliable,13.4,38.2,5.9
Alaska,2,2009,2009,White,45-54 years,45-54,Drug-Induced Causes,D,34,86720,39.2,27.2,54.8,6.7
Alaska,2,2009,2009,White,45-54 years,45-54,Alcohol-Induced Causes,A,29,86720,33.4,22.4,48,6.2
Alaska,2,2009,2009,White,55-64 years,55-64,Drug-Induced Causes,D,17,0,Unreliable,0,0,0
Alaska,2,2009,2009,White,55-64 years,55-64,Alcohol-Induced Causes,A,23,0,0.0,0,0,0
Alaska,2,2009,2009,White,65-74 years,65-74,Alcohol-Induced Causes,A,12,26261,Unreliable,23.6,79.8,13.2
Alaska,2,2010,2010,American Indian or Alaska Native,35-44 years,35-44,Alcohol-Induced Causes,A,15,13610,Unreliable,61.7,181.8,28.5
Alaska,2,2010,2010,American Indian or Alaska Native,45-54 years,45-54,Alcohol-Induced Causes,A,21,15155,138.6,85.8,211.8,30.2
Alaska,2,2010,2010,American Indian or Alaska Native,55-64 years,55-64,Alcohol-Induced Causes,A,12,0,Unreliable,0,0,0
Alaska,2,2010,2010,White,35-44 years,35-44,Drug-Induced Causes,D,15,68364,Unreliable,12.3,36.2,5.7
Alaska,2,2010,2010,White,45-54 years,45-54,Drug-Induced Causes,D,22,0,0.0,0,0,0
Alaska,2,2010,2010,White,45-54 years,45-54,Alcohol-Induced Causes,A,25,85125,29.4,19,43.4,5.9
Alaska,2,2010,2010,White,55-64 years,55-64,Alcohol-Induced Causes,A,18,0,Unreliable,0,0,0
